Index,Headline,Timestamp,Refered stock,ml_sentiment
261,What the hell is going on with NVDA?,"Monday, November 24, 2025 at 7:28:36 PM EST",NVDA,neutral
262,My high conviction trade of the year: Full ported into META calls (looking good on both ends: technical and fundamental),"Monday, November 24, 2025 at 8:10:43 PM EST",META,neutral
263,LEAP into GOOG,"Monday, November 24, 2025 at 9:32:05 PM EST",GOOG,neutral
264,It took me 5 years to break. I'm a loser and should have just bought SPY.,"Tuesday, November 25, 2025 at 4:13:04 AM EST",SPY,neutral
265,NBIS meme stock losses,"Tuesday, November 25, 2025 at 10:02:58 AM EST",NBIS,neutral
266,Time to re-ride the RKT,"Tuesday, November 25, 2025 at 11:22:14 AM EST",RKT,neutral
267,NVDIA releases statement on Google's success,"Tuesday, November 25, 2025 at 1:33:17 PM EST",NVDA,neutral
268,$837k META yolo,"Tuesday, November 25, 2025 at 5:12:22 PM EST",META,positive
269,META saved me from bankruptcy,"Tuesday, November 25, 2025 at 6:08:58 PM EST",META,neutral
270,"CSCO my ass, holding NVDA since 2008","Tuesday, November 25, 2025 at 8:42:07 PM EST",NVDA,neutral
271,"KSS and ANF, next retail (retail) rally is $GAP","Tuesday, November 25, 2025 at 10:45:23 PM EST",ANF,neutral
272,"Lottery -SPY 0DTE- calls (325$ —> 4K$, 1200% gain). not great not terrible.","Tuesday, November 25, 2025 at 11:08:37 PM EST",SPY,neutral
273,Locked in profits on GOOGL — gains are gains!,"Wednesday, November 26, 2025 at 3:24:12 AM EST",GOOGL,positive
274,"Thanks Google, $13.5K to $27K and $10.7K to $12.8K","Wednesday, November 26, 2025 at 10:50:50 AM EST",GOOG,neutral
275,Finally a good trade after beating down $HOOD,"Wednesday, November 26, 2025 at 12:30:53 PM EST",HOOD,neutral
276,Looks like I'm cooked on this position. Christmas is cancelled this year.,"Wednesday, November 26, 2025 at 1:37:36 PM EST",MSTR,neutral
277,Sweet Quantum Losses,"Wednesday, November 26, 2025 at 3:42:55 PM EST",QBTS,neutral
278,Sweet Quantum Losses,"Wednesday, November 26, 2025 at 3:42:55 PM EST",RGTI,neutral
279,Since You Guys Hate BMNR so much I decided to buy it.,"Wednesday, November 26, 2025 at 5:24:45 PM EST",BMNR,positive
280,HOOD calls back from the dead..again,"Wednesday, November 26, 2025 at 5:25:45 PM EST",HOOD,neutral
281,Never give up,"Wednesday, November 26, 2025 at 5:57:21 PM EST",HOOD,neutral
282,I should get off margin account,"Wednesday, November 26, 2025 at 7:52:35 PM EST",BULL,neutral
283,I’m Dutch but I’m celebrating Thanksgiving today for the first time!,"Thursday, November 27, 2025 at 4:13:22 AM EST",SPY,neutral
284,Best week I've Ever had. Thank you Google.,"Thursday, November 27, 2025 at 4:21:54 AM EST",GOOG,neutral
285,META 2200 shares @ $585,"Thursday, November 27, 2025 at 5:33:16 AM EST",META,neutral
286,GDX FRIDAY FEAST. HISTORY TILTS GREEN. MINERS UP TRIPLE DIGITS. I’M LONG.,"title=""Thursday, November 27, 2025 at 7:39:32 PM EST""",GDX,neutral
287,This is to all the regards who laughed at my DD post on META,"Friday, November 28, 2025 at 1:22:13 PM EST",META,neutral
288,Black Friday GOOGL 0DTE +$21K,"Friday, November 28, 2025 at 9:38:58 PM EST",GOOGL,neutral
289,"Didn’t realize market closed early today, holding $120k of OTM puts over the weekend now","Friday, November 28, 2025 at 10:10:01 PM EST",SPY,neutral
290,INTC position to pull me out from the depths of despair🥀,"Saturday, November 29, 2025 at 12:08:04 PM EST",INTC,neutral
291,"Dug my Roth IRA out from the trenches this year, down $28k to + $51K - mostly GGLL options and GOOG returns","title=""Saturday, November 29, 2025 at 3:31:42 PM EST""",GOOG,neutral
292,Nvidia's Jensen Huang urges employees to automate every task possible with AI,"Sunday, November 30, 2025 at 4:52:52 PM EST",NVDA,neutral
